,Date,Value
0,2011-01-03,19.08515191083868
1,2011-01-04,19.226650483485795
2,2011-01-05,19.395451443392552
3,2011-01-06,19.52400872064003
4,2011-01-07,19.58518266503127
5,2011-01-10,19.58518266503127
6,2011-01-11,19.524008720640033
7,2011-01-12,19.395451443392545
8,2011-01-13,19.226650483485795
9,2011-01-14,19.085151910838682
10,2011-01-18,19.02416700122654
11,2011-01-19,19.055074582780858
12,2011-01-20,19.144956186656188
13,2011-01-21,19.216141950711787
14,2011-01-24,19.205948870879947
15,2011-01-25,19.117846649403667
16,2011-01-26,19.010475960320463
17,2011-01-27,18.930957308924516
18,2011-01-28,18.88972336423823
19,2011-01-31,18.87669347533493
20,2011-02-01,18.858192001378736
21,2011-02-02,18.798164455233508
22,2011-02-03,18.698443380378034
23,2011-02-04,18.586713006839314
24,2011-02-07,18.471061664942386
25,2011-02-08,18.3252791616865
26,2011-02-09,18.136994032727497
27,2011-02-10,17.924900219243504
28,2011-02-11,17.713892948749564
29,2011-02-14,17.5434361011228
30,2011-02-15,17.4600146245887
31,2011-02-16,17.488884946354837
32,2011-02-17,17.628236047862885
33,2011-02-18,17.865633923619722
34,2011-02-22,18.16850255603975
35,2011-02-23,18.46141377978174
36,2011-02-24,18.657481595341093
37,2011-02-25,18.710974926291417
38,2011-02-28,18.63013737975988
39,2011-03-01,18.464751496635717
40,2011-03-02,18.285444505594526
41,2011-03-03,18.143882289788937
42,2011-03-04,18.044175211395384
43,2011-03-07,17.98514645865385
44,2011-03-08,17.981418710065768
45,2011-03-09,18.039415357757495
46,2011-03-10,18.146036433130938
47,2011-03-11,18.23969494621848
48,2011-03-14,18.231335656179432
49,2011-03-15,18.0718400155048
50,2011-03-16,17.7796884734114
51,2011-03-17,17.4606478597154
52,2011-03-18,17.237225857584562
53,2011-03-21,17.154955314417105
54,2011-03-22,17.179805335058262
55,2011-03-23,17.24139953082394
56,2011-03-24,17.304158628874582
57,2011-03-25,17.392526727825256
58,2011-03-28,17.53794158532678
59,2011-03-29,17.744368320838742
60,2011-03-30,17.947191522739608
61,2011-03-31,18.047088826207354
62,2011-04-01,18.022012481496454
63,2011-04-04,17.940625174497377
64,2011-04-05,17.90105749761189
65,2011-04-06,17.964975331328887
66,2011-04-07,18.12534641334505
67,2011-04-08,18.334946022270877
68,2011-04-11,18.540671602699646
69,2011-04-12,18.710469646001428
70,2011-04-13,18.83195702025949
71,2011-04-14,18.87766282680117
72,2011-04-15,18.81762238837306
73,2011-04-18,18.66017304636531
74,2011-04-19,18.448832851977144
75,2011-04-20,18.236478971427495
76,2011-04-21,18.082181799568747
77,2011-04-25,18.024865044729868
78,2011-04-26,18.067172445960367
79,2011-04-27,18.193986985172668
80,2011-04-28,18.381583964852386
81,2011-04-29,18.572858846312478
82,2011-05-02,18.688450086860822
83,2011-05-03,18.709624544542223
84,2011-05-04,18.67352554326968
85,2011-05-05,18.60094351820581
86,2011-05-06,18.484768207773794
87,2011-05-09,18.329708762686998
88,2011-05-10,18.151909910330044
89,2011-05-11,17.982835536602312
90,2011-05-12,17.8909394706494
91,2011-05-13,17.90960270415262
92,2011-05-16,17.994999169204938
93,2011-05-17,18.068958143780073
94,2011-05-18,18.05710087905693
95,2011-05-19,17.95639709856918
96,2011-05-20,17.812407542687417
97,2011-05-23,17.667291418835237
98,2011-05-24,17.533060869101632
99,2011-05-25,17.3867401813187
100,2011-05-26,17.24090507443576
101,2011-05-27,17.1299998612967
102,2011-05-31,17.08304269524791
103,2011-06-01,17.143061408263808
104,2011-06-02,17.31212684926633
105,2011-06-03,17.51944976127235
106,2011-06-06,17.68543806308825
107,2011-06-07,17.775055833025853
108,2011-06-08,17.786402263839197
109,2011-06-09,17.739123467854764
110,2011-06-10,17.676397693283185
111,2011-06-13,17.640572558103674
112,2011-06-14,17.63203417823214
113,2011-06-15,17.61916454772939
114,2011-06-16,17.59082884688492
115,2011-06-17,17.546768284854867
116,2011-06-20,17.4787447696097
117,2011-06-21,17.3897327412478
118,2011-06-22,17.296426605707445
119,2011-06-23,17.215970351681904
120,2011-06-24,17.15793568777567
121,2011-06-27,17.12764182623835
122,2011-06-28,17.116647949720313
123,2011-06-29,17.102803426253296
124,2011-06-30,17.08764720047587
125,2011-07-01,17.11206461931035
126,2011-07-05,17.208302231060888
127,2011-07-06,17.37318148923744
128,2011-07-07,17.578424324826738
129,2011-07-08,17.772966843071547
130,2011-07-11,17.902173524211797
131,2011-07-12,17.923783617492507
132,2011-07-13,17.825085987915568
133,2011-07-14,17.624447637055034
134,2011-07-15,17.366098884947842
135,2011-07-18,17.11919378480387
136,2011-07-19,16.93089496429199
137,2011-07-20,16.801186222489367
138,2011-07-21,16.72629191579575
139,2011-07-22,16.710321773043468
140,2011-07-25,16.77244615336369
141,2011-07-26,16.918429699692254
142,2011-07-27,17.112718814248865
143,2011-07-28,17.290138572306404
144,2011-07-29,17.36403301460124
145,2011-08-01,17.29540694981951
146,2011-08-02,17.150164830809654
147,2011-08-03,17.024081775449687
148,2011-08-04,16.9514581638128
149,2011-08-05,16.88881013251099
150,2011-08-08,16.765630380038182
151,2011-08-09,16.51451985993996
152,2011-08-10,16.108183506700424
153,2011-08-11,15.634849973373278
154,2011-08-12,15.235932490141485
155,2011-08-15,15.005546612595928
156,2011-08-16,14.970647810860664
157,2011-08-17,15.091936163715605
158,2011-08-18,15.292123404008258
159,2011-08-19,15.48481831449752
160,2011-08-22,15.614430237294725
161,2011-08-23,15.683740238228564
162,2011-08-24,15.705028877998323
163,2011-08-25,15.707847485504937
