,Date,Value
0,2011-01-03,14.47608295771224
1,2011-01-04,14.389125630366722
2,2011-01-05,14.309336146377825
3,2011-01-06,14.235576200489298
4,2011-01-07,14.18234269348861
5,2011-01-10,14.18234269348861
6,2011-01-11,14.2355762004893
7,2011-01-12,14.309336146377825
8,2011-01-13,14.389125630366722
9,2011-01-14,14.47608295771224
10,2011-01-18,14.572931581858732
11,2011-01-19,14.679586362879157
12,2011-01-20,14.785394886830463
13,2011-01-21,14.850986243556582
14,2011-01-24,14.83527148352837
15,2011-01-25,14.744303964519347
16,2011-01-26,14.601152103258439
17,2011-01-27,14.420548172215254
18,2011-01-28,14.219151646418519
19,2011-01-31,14.03036975377252
20,2011-02-01,13.88326689884683
21,2011-02-02,13.786365598775754
22,2011-02-03,13.76187144373119
23,2011-02-04,13.816306459324327
24,2011-02-07,13.922380242450025
25,2011-02-08,14.05411519741185
26,2011-02-09,14.193022877425827
27,2011-02-10,14.321157897221479
28,2011-02-11,14.419116753500344
29,2011-02-14,14.475896791631516
30,2011-02-15,14.504962396022123
31,2011-02-16,14.527806780881736
32,2011-02-17,14.56285527394824
33,2011-02-18,14.6189235058146
34,2011-02-22,14.686673317880746
35,2011-02-23,14.736223474456937
36,2011-02-24,14.730091622560902
37,2011-02-25,14.65321033114853
38,2011-02-28,14.525696223167888
39,2011-03-01,14.388498122354092
40,2011-03-02,14.280077433608048
41,2011-03-03,14.2155521673861
42,2011-03-04,14.183782264489636
43,2011-03-07,14.167399338841227
44,2011-03-08,14.1548327976397
45,2011-03-09,14.149363158987237
46,2011-03-10,14.170446517816767
47,2011-03-11,14.229273736335818
48,2011-03-14,14.30091841139518
49,2011-03-15,14.346138289680063
50,2011-03-16,14.338315524584107
51,2011-03-17,14.276171413079693
52,2011-03-18,14.177086097750543
53,2011-03-21,14.077284624718278
54,2011-03-22,14.02216545929073
55,2011-03-23,14.019582878858527
56,2011-03-24,14.0364318198322
57,2011-03-25,14.032334648130458
58,2011-03-28,13.974894994251656
59,2011-03-29,13.861875041315578
60,2011-03-30,13.721462772595999
61,2011-03-31,13.591024031690864
62,2011-04-01,13.496759172221426
63,2011-04-04,13.441183670569576
64,2011-04-05,13.414168785603938
65,2011-04-06,13.404179674692562
66,2011-04-07,13.409391588378572
67,2011-04-08,13.436204135362033
68,2011-04-11,13.485328908477717
69,2011-04-12,13.541578398986452
70,2011-04-13,13.580972400704558
71,2011-04-14,13.59183673850025
72,2011-04-15,13.568308016118985
73,2011-04-18,13.509177905174017
74,2011-04-19,13.415599078621296
75,2011-04-20,13.28170754123512
76,2011-04-21,13.106984631039294
77,2011-04-25,12.904038274954013
78,2011-04-26,12.703621525656184
79,2011-04-27,12.545441878824935
80,2011-04-28,12.444244608107033
81,2011-04-29,12.389672003789785
82,2011-05-02,12.36358748998905
83,2011-05-03,12.350641535021058
84,2011-05-04,12.346233719724573
85,2011-05-05,12.353206361720499
86,2011-05-06,12.375835452270604
87,2011-05-09,12.407691798312273
88,2011-05-10,12.430490103444921
89,2011-05-11,12.427323972471884
90,2011-05-12,12.398115169550534
91,2011-05-13,12.350811904574805
92,2011-05-16,12.298449629287589
93,2011-05-17,12.249412295874729
94,2011-05-18,12.193111387809742
95,2011-05-19,12.121057342777734
96,2011-05-20,12.039930184889997
97,2011-05-23,11.957275990555596
98,2011-05-24,11.875896390514228
99,2011-05-25,11.79305755691395
100,2011-05-26,11.703848996696301
101,2011-05-27,11.606860583916212
102,2011-05-31,11.518099854900127
103,2011-06-01,11.472340225132614
104,2011-06-02,11.487613775899696
105,2011-06-03,11.53649769478782
106,2011-06-06,11.569343739133059
107,2011-06-07,11.551806484573909
108,2011-06-08,11.47181565916045
109,2011-06-09,11.334306031758056
110,2011-06-10,11.16280763813278
111,2011-06-13,10.99181517375305
112,2011-06-14,10.851167443651663
113,2011-06-15,10.765862836723658
114,2011-06-16,10.742542647404898
115,2011-06-17,10.7546857623517
116,2011-06-20,10.765936110111477
117,2011-06-21,10.750233478433206
118,2011-06-22,10.707646685869273
119,2011-06-23,10.665901084522524
120,2011-06-24,10.650768720063942
121,2011-06-27,10.665950835957359
122,2011-06-28,10.684587304420312
123,2011-06-29,10.690419346793764
124,2011-06-30,10.70749299936719
125,2011-07-01,10.757453680887231
126,2011-07-05,10.837980233338826
127,2011-07-06,10.931409585521198
128,2011-07-07,11.004943031184405
129,2011-07-08,11.031712021813364
130,2011-07-11,11.00620971589502
131,2011-07-12,10.941148777651398
132,2011-07-13,10.850595054176802
133,2011-07-14,10.736887243788999
134,2011-07-15,10.607219235170056
135,2011-07-18,10.477292673607263
136,2011-07-19,10.354871715002371
137,2011-07-20,10.238489646605002
138,2011-07-21,10.122294388109347
139,2011-07-22,10.009704671055665
140,2011-07-25,9.927667364091784
141,2011-07-26,9.899751449620084
142,2011-07-27,9.923422057147299
143,2011-07-28,9.969926804266493
144,2011-07-29,9.99722945469488
145,2011-08-01,9.975917955261426
146,2011-08-02,9.917263946495767
147,2011-08-03,9.858850365097556
148,2011-08-04,9.816571747772372
149,2011-08-05,9.773037790958945
150,2011-08-08,9.69948784993131
151,2011-08-09,9.537534388616693
152,2011-08-10,9.220764243016532
153,2011-08-11,8.765082819818002
154,2011-08-12,8.260751878598688
155,2011-08-15,7.811438606822021
156,2011-08-16,7.501305627816098
157,2011-08-17,7.366808250561622
158,2011-08-18,7.372358008139021
159,2011-08-19,7.415797020315336
160,2011-08-22,7.411292134595734
161,2011-08-23,7.350033311086868
162,2011-08-24,7.235209073486366
163,2011-08-25,7.071156341132984
