,Date,Value
0,2011-01-03,51.256849982481604
1,2011-01-04,51.40417977883441
2,2011-01-05,51.56940722678432
3,2011-01-06,51.59609438025913
4,2011-01-07,51.538229895534826
5,2011-01-10,51.53822989553483
6,2011-01-11,51.59609438025912
7,2011-01-12,51.56940722678432
8,2011-01-13,51.40417977883441
9,2011-01-14,51.25684998248161
10,2011-01-18,51.382636428090464
11,2011-01-19,51.938232798966844
12,2011-01-20,52.87971615731485
13,2011-01-21,53.966728012873034
14,2011-01-24,54.92330919753056
15,2011-01-25,55.631515869944295
16,2011-01-26,56.12335543517191
17,2011-01-27,56.46907257673014
18,2011-01-28,56.69417605262561
19,2011-01-31,56.839187600470375
20,2011-02-01,56.93249596303569
21,2011-02-02,56.97930593591753
22,2011-02-03,57.05097927964613
23,2011-02-04,57.220886375629874
24,2011-02-07,57.53156367855592
25,2011-02-08,58.00879250713405
26,2011-02-09,58.6306843196233
27,2011-02-10,59.31435834213689
28,2011-02-11,59.88824653187959
29,2011-02-14,60.20139329217145
30,2011-02-15,60.2146769209085
31,2011-02-16,60.011425906433985
32,2011-02-17,59.80506096128289
33,2011-02-18,59.809715706120016
34,2011-02-22,60.11796514844859
35,2011-02-23,60.61658145446406
36,2011-02-24,61.05142074312374
37,2011-02-25,61.231667141469615
38,2011-02-28,61.14168968439552
39,2011-03-01,60.944883588613244
40,2011-03-02,60.833794582204085
41,2011-03-03,60.866851508794284
42,2011-03-04,60.998821305390415
43,2011-03-07,61.13000302277047
44,2011-03-08,61.16404105329127
45,2011-03-09,61.01307576483082
46,2011-03-10,60.63538129279821
47,2011-03-11,60.049184685622755
48,2011-03-14,59.283457957824616
49,2011-03-15,58.454897857839384
50,2011-03-16,57.652303225882754
51,2011-03-17,56.875925703907534
52,2011-03-18,56.1469876447164
53,2011-03-21,55.53223004562809
54,2011-03-22,55.14120882934143
55,2011-03-23,55.03807387891411
56,2011-03-24,55.1599592854018
57,2011-03-25,55.388566453035374
58,2011-03-28,55.57302360355953
59,2011-03-29,55.66025914821695
60,2011-03-30,55.70023890240492
61,2011-03-31,55.73353856924308
62,2011-04-01,55.79716237918182
63,2011-04-04,55.91293332758767
64,2011-04-05,56.10555904304827
65,2011-04-06,56.37792448668946
66,2011-04-07,56.679232630490674
67,2011-04-08,56.96548359354361
68,2011-04-11,57.24709938533351
69,2011-04-12,57.557258458593175
70,2011-04-13,57.8981723349277
71,2011-04-14,58.24426762423446
72,2011-04-15,58.50305495676279
73,2011-04-18,58.51995890864574
74,2011-04-19,58.20769577915763
75,2011-04-20,57.6007569687766
76,2011-04-21,56.86209014658005
77,2011-04-25,56.21479173908013
78,2011-04-26,55.850863985485276
79,2011-04-27,55.8696519944898
80,2011-04-28,56.22739034573117
81,2011-04-29,56.85417077087843
82,2011-05-02,57.713193759542555
83,2011-05-03,58.76366560436206
84,2011-05-04,59.915890832866616
85,2011-05-05,60.96831899143402
86,2011-05-06,61.65571591678098
87,2011-05-09,61.808988211492824
88,2011-05-10,61.4345520208082
89,2011-05-11,60.71157883984465
90,2011-05-12,59.92328999545446
91,2011-05-13,59.25671801337707
92,2011-05-16,58.75835175201803
93,2011-05-17,58.35951219822922
94,2011-05-18,57.94346236500159
95,2011-05-19,57.497015373317154
96,2011-05-20,57.11472027637371
97,2011-05-23,56.91046954407866
98,2011-05-24,56.85085126020528
99,2011-05-25,56.73308008150876
100,2011-05-26,56.41134630620425
101,2011-05-27,55.90324084349589
102,2011-05-31,55.39243825838744
103,2011-06-01,55.129854911649566
104,2011-06-02,55.24703793634414
105,2011-06-03,55.6340901294196
106,2011-06-06,56.03102730013739
107,2011-06-07,56.26948122449252
108,2011-06-08,56.33709440536561
109,2011-06-09,56.26870578196594
110,2011-06-10,56.088873830819665
111,2011-06-13,55.849746182893846
112,2011-06-14,55.58210277633953
113,2011-06-15,55.303029627697136
114,2011-06-16,55.057781011851006
115,2011-06-17,54.83609712201045
116,2011-06-20,54.640008120963124
117,2011-06-21,54.47693120619914
118,2011-06-22,54.389934020528976
119,2011-06-23,54.495873188301715
120,2011-06-24,54.769486889834454
121,2011-06-27,55.04975829020197
122,2011-06-28,55.125178797037485
123,2011-06-29,54.87785937180799
124,2011-06-30,54.47065197152179
125,2011-07-01,54.163049837154794
126,2011-07-05,54.192496111956146
127,2011-07-06,54.655592320512746
128,2011-07-07,55.33689085049704
129,2011-07-08,55.943649208393374
130,2011-07-11,56.268604101257665
131,2011-07-12,56.17061952398077
132,2011-07-13,55.59756602944337
133,2011-07-14,54.61021648243625
134,2011-07-15,53.43789697527104
135,2011-07-18,52.33819273539683
136,2011-07-19,51.42507576650407
137,2011-07-20,50.738358089186335
138,2011-07-21,50.294763943425835
139,2011-07-22,50.11830313844058
140,2011-07-25,50.276660927206436
141,2011-07-26,50.772385626492685
142,2011-07-27,51.48166952603362
143,2011-07-28,52.15845415308061
144,2011-07-29,52.5517962483455
145,2011-08-01,52.59794831097064
146,2011-08-02,52.44249734536674
147,2011-08-03,52.205061016393714
148,2011-08-04,51.842206694644275
149,2011-08-05,51.24714835019196
150,2011-08-08,50.36395646883124
151,2011-08-09,49.20727890047568
152,2011-08-10,47.83663558247396
153,2011-08-11,46.351636569332655
154,2011-08-12,44.81238349005973
155,2011-08-15,43.30585240144064
156,2011-08-16,42.06692164853365
157,2011-08-17,41.3059624707501
158,2011-08-18,41.05087334558802
159,2011-08-19,41.10029185122195
160,2011-08-22,41.06994179763367
161,2011-08-23,40.664216776460016
162,2011-08-24,39.83458924209394
163,2011-08-25,38.81546354624497
