,Date,Value
0,2011-01-03,11.721316436145448
1,2011-01-04,11.77589724776527
2,2011-01-05,11.816540795008576
3,2011-01-06,11.837227041355346
4,2011-01-07,11.843093847507035
5,2011-01-10,11.843093847507033
6,2011-01-11,11.837227041355344
7,2011-01-12,11.816540795008574
8,2011-01-13,11.77589724776527
9,2011-01-14,11.721316436145447
10,2011-01-17,11.665599748185098
11,2011-01-18,11.622080061083805
12,2011-01-19,11.596303534834574
13,2011-01-20,11.58317455170566
14,2011-01-21,11.569599963027482
15,2011-01-24,11.547114284438178
16,2011-01-25,11.521039802475025
17,2011-01-26,11.497078291565257
18,2011-01-27,11.47292417679074
19,2011-01-28,11.446621955340955
20,2011-01-31,11.422290284458061
21,2011-02-01,11.405985235680044
22,2011-02-02,11.402086739806116
23,2011-02-03,11.413848674785807
24,2011-02-04,11.439146858566605
25,2011-02-07,11.473552582434046
26,2011-02-08,11.5161741370108
27,2011-02-09,11.576962744381598
28,2011-02-10,11.66763711016544
29,2011-02-11,11.778523468842085
30,2011-02-14,11.88893093507293
31,2011-02-15,11.982161986589023
32,2011-02-16,12.042797420373375
33,2011-02-17,12.065470872830462
34,2011-02-18,12.058419603428126
35,2011-02-21,12.040929942539378
36,2011-02-22,12.026644459863892
37,2011-02-23,12.011979442070087
38,2011-02-24,11.989109604007453
39,2011-02-25,11.954568688353195
40,2011-02-28,11.909441637533568
41,2011-03-01,11.868345134689465
42,2011-03-02,11.852328344569688
43,2011-03-03,11.861737059262273
44,2011-03-04,11.878521429111608
45,2011-03-07,11.88326005839303
46,2011-03-08,11.866327097167197
47,2011-03-09,11.836555493346227
48,2011-03-10,11.810345242110655
49,2011-03-11,11.796451077954893
50,2011-03-14,11.791236160572339
51,2011-03-15,11.774264953313057
52,2011-03-16,11.732162521929572
53,2011-03-17,11.672021456972924
54,2011-03-18,11.613534036020217
55,2011-03-21,11.576398630097184
56,2011-03-22,11.567463308289627
57,2011-03-23,11.580640957535454
58,2011-03-24,11.605476424089805
59,2011-03-25,11.636587731986582
60,2011-03-28,11.674884616313244
61,2011-03-29,11.728052675218418
62,2011-03-30,11.792399958471886
63,2011-03-31,11.850815188036792
64,2011-04-01,11.895851451121644
65,2011-04-04,11.927231829207258
66,2011-04-05,11.947689786090029
67,2011-04-06,11.963249853505033
68,2011-04-07,11.973130068446826
69,2011-04-08,11.977906380912925
70,2011-04-11,11.976513679002034
71,2011-04-12,11.97168322836648
72,2011-04-13,11.973213818487059
73,2011-04-14,11.9818189976389
74,2011-04-15,11.994252158717211
75,2011-04-18,12.006515341805553
76,2011-04-19,12.013910269721826
77,2011-04-20,12.013106748817906
78,2011-04-21,12.005260607311154
79,2011-04-26,11.997162549437803
80,2011-04-27,11.990262190907877
81,2011-04-28,11.97687036017869
82,2011-04-29,11.956754478213126
83,2011-05-02,11.938937063817871
84,2011-05-03,11.930585305422554
85,2011-05-04,11.927938540346487
86,2011-05-05,11.921577244015246
87,2011-05-06,11.902780159836105
88,2011-05-09,11.863965763421135
89,2011-05-10,11.81172793969219
90,2011-05-11,11.761151124655546
91,2011-05-12,11.721863438752674
92,2011-05-13,11.694441409466691
93,2011-05-16,11.668450528683687
94,2011-05-17,11.641105057799987
95,2011-05-18,11.621950863818673
96,2011-05-19,11.61774082671932
97,2011-05-20,11.628885165937533
98,2011-05-23,11.647049913872486
99,2011-05-24,11.664515434943008
100,2011-05-25,11.671289763401253
101,2011-05-26,11.656404597110637
102,2011-05-27,11.626694895499353
103,2011-05-30,11.585014256840719
104,2011-05-31,11.53214907064133
105,2011-06-01,11.475158902979517
106,2011-06-02,11.417184555681933
107,2011-06-03,11.369235931799297
108,2011-06-06,11.343090749966867
109,2011-06-07,11.340194680656968
110,2011-06-08,11.350594974970006
111,2011-06-09,11.355647836816413
112,2011-06-10,11.346750161131787
113,2011-06-13,11.321436528477324
114,2011-06-14,11.281803320698357
115,2011-06-15,11.245875454951193
116,2011-06-16,11.225264966537548
117,2011-06-17,11.212458991208287
118,2011-06-20,11.194733142592053
119,2011-06-21,11.157505887806659
120,2011-06-22,11.081153309928208
121,2011-06-23,10.968647850747072
122,2011-06-24,10.834939225253281
123,2011-06-27,10.680462987438382
124,2011-06-28,10.511212878005157
125,2011-06-29,10.341421244535555
126,2011-06-30,10.18947307900787
127,2011-07-01,10.082404986909001
128,2011-07-04,10.038211417044852
129,2011-07-05,10.050536167560987
130,2011-07-06,10.082548251775135
131,2011-07-07,10.095743328711329
132,2011-07-08,10.084987077699203
133,2011-07-11,10.057652023698562
134,2011-07-12,10.027022448447223
135,2011-07-13,10.001685361940577
136,2011-07-14,9.968800959763549
137,2011-07-15,9.92036066347609
138,2011-07-18,9.871231707502325
139,2011-07-19,9.831144594793315
140,2011-07-20,9.800685982653146
141,2011-07-21,9.776717097817144
142,2011-07-22,9.745186047741411
143,2011-07-25,9.699218669704411
144,2011-07-26,9.652785042816216
145,2011-07-27,9.63151123643144
146,2011-07-28,9.650108597312789
147,2011-07-29,9.696833791377786
148,2011-08-01,9.748783778555701
149,2011-08-02,9.78318429113686
150,2011-08-03,9.793349159364414
151,2011-08-04,9.785440054412549
152,2011-08-05,9.756840934352365
153,2011-08-08,9.697538089615733
154,2011-08-09,9.579910498537455
155,2011-08-10,9.387433012924397
156,2011-08-11,9.147701853756649
157,2011-08-12,8.912581351172305
158,2011-08-15,8.731258556614835
159,2011-08-16,8.630061536553935
160,2011-08-17,8.623405757959233
161,2011-08-18,8.706113108867587
162,2011-08-19,8.835506656132184
163,2011-08-22,8.957280535788989
